MSZoning,LotArea,Street,YearBuilt,SalePrice
RL,6600,Pave,1962,109500
RL,8750,Pave,1998,200500
RL,8892,Pave,1953,116000
RL,12144,Pave,1949,133000
RM,5720,Pave,1941,66500
FV,9000,Pave,2007,303477
RL,25286,Pave,1963,132250
RL,8834,Pave,2004,350000
RL,11782,Pave,1961,148000
RL,7000,Pave,1978,136500
RL,7024,Pave,2005,157000
RL,13758,Pave,1990,187500
RL,9636,Pave,1992,178000
RL,6204,Pave,1912,118500
RL,7150,Pave,1967,100000
FV,5119,Pave,1999,328900
RL,8393,Pave,1959,145000
RL,16466,Pave,1955,135500
RL,15865,Pave,1970,268000
RL,12160,Pave,1953,149500
RL,8064,Pave,1949,122900
RL,11184,Pave,1978,172500
RL,8414,Pave,1963,154500
RL,13284,Pave,1954,165000
RL,7018,Pave,1979,118858
RL,7056,Pave,1963,140000
RM,8765,Pave,1936,106500
RL,7018,Pave,1979,142953
RL,12919,Pave,2009,611657
RL,6993,Pave,1961,135000
RL,7340,Pave,1971,110000
RL,8712,Pave,1957,153000
RL,7875,Pave,2003,180000
RL,14859,Pave,2006,240000
RL,6173,Pave,1967,125500
RL,9920,Pave,1954,128000
RL,13501,Pave,2006,255000
RL,11500,Pave,1936,250000
RL,8885,Pave,1983,131000
RL,12589,Pave,2005,174000
RL,11600,Pave,1960,154300
RL,9286,Pave,1977,143500
RM,6120,Pave,1925,88000
RH,6270,Pave,1949,145000
FV,3000,Pave,2009,173733
RM,2001,Pave,1970,75000
C (all),9000,Pave,1949,35311
RL,17140,Pave,1956,135000
RL,13125,Pave,1991,238000
RL,11029,Pave,1958,176500
RL,8462,Pave,1994,201000
RL,8777,Pave,1900,145900
RL,10237,Pave,2005,169990
RL,8012,Pave,1993,193000
RL,10240,Pave,1980,207500
RL,15611,Pave,1977,175000
RL,11999,Pave,2003,285000
RL,9900,Pave,1968,176000
RL,11838,Pave,2001,236500
RL,13006,Pave,1997,222000
RL,8925,Pave,2007,201000
RL,9100,Pave,1965,117500
RL,11670,Pave,2006,320000
RL,8487,Pave,2004,190000
RL,27650,Pave,1960,242000
RL,5825,Pave,1926,79900
RL,10083,Pave,2003,184900
RL,9675,Pave,2005,253000
RL,8760,Pave,2006,239799
RL,24090,Pave,1940,244400
RL,12640,Pave,1976,150900
RL,8755,Pave,1999,214000
RL,7711,Pave,1977,150000
RL,25000,Pave,1967,143000
RL,14375,Pave,1958,137500
RM,8820,Pave,1890,124900
RL,8163,Pave,1959,143000
RL,14536,Pave,2002,270000
RL,14006,Pave,2002,192500
RL,9360,Pave,1972,197500
RL,7200,Pave,1950,129000
RH,7800,Pave,1965,119900
RL,7200,Pave,1972,133900
RL,11075,Pave,1969,172000
RL,9400,Pave,1975,127500
RH,7136,Pave,1946,145000
RM,1300,Pave,1980,124000
RL,7420,Pave,1962,132000
RL,8450,Pave,2003,185000
FV,2572,Pave,1999,155000
RL,7207,Pave,1958,116500
RL,12227,Pave,1977,272000
RL,2308,Pave,1976,155000
RL,11923,Pave,2007,239000
RL,11316,Pave,2002,214900
RL,10237,Pave,2005,178900
RL,9600,Pave,1940,160000
RL,7390,Pave,1955,135000
RM,5925,Pave,1910,37900
RL,10382,Pave,1958,140000
RL,10800,Pave,1949,135000
RL,2268,Pave,2003,173000
RL,7892,Pave,1979,99500
FV,11639,Pave,2007,182000
RL,11414,Pave,1910,167500
FV,2651,Pave,2000,165000
RL,5900,Pave,1923,85500
FV,4274,Pave,2006,199900
RL,9450,Pave,1954,110000
RL,8816,Pave,1963,139000
RL,12122,Pave,1961,178400
RL,12203,Pave,1998,336000
RL,3182,Pave,2007,159895
RL,11250,Pave,2002,255900
RL,10125,Pave,1977,126000
RL,10880,Pave,1950,125000
RM,5310,Pave,1910,117000
RL,10159,Pave,2009,395192
RL,12046,Pave,1976,195000
FV,8125,Pave,2006,197000
RL,9452,Pave,1997,348000
RM,17671,Pave,1882,168000
RL,9760,Pave,1964,187000
RL,8846,Pave,2005,173900
RL,12456,Pave,2006,337500
RL,4712,Pave,1946,121600
RL,10659,Pave,1961,136500
RL,11717,Pave,1970,185000
RM,9786,Pave,1922,91000
RL,6762,Pave,2006,206000
RL,10206,Pave,1952,82000
RL,5400,Pave,1920,86000
RL,11957,Pave,2006,232000
RL,11500,Pave,1976,136905
RL,3182,Pave,2005,181000
RL,8385,Pave,1977,149900
RL,12155,Pave,1970,163500
RM,2217,Pave,1970,88000
RL,12118,Pave,2004,240000
RL,6000,Pave,1926,102000
RL,21286,Pave,1948,135000
RL,9825,Pave,1965,100000
RL,10592,Pave,1923,165000
RM,7200,Pave,1910,85000
RL,11664,Pave,1948,119200
RL,8400,Pave,2001,227000
RL,11883,Pave,1996,203000
RL,5814,Pave,1984,187500
RL,10784,Pave,1991,160000
RL,3013,Pave,2005,213490
RL,7024,Pave,2005,176000
RL,7406,Pave,2006,194000
RM,9439,Pave,1930,87000
RL,3182,Pave,2005,191000
RL,15498,Pave,1976,287000
RL,7700,Pave,1972,112500
RL,9300,Pave,1960,167500
RL,9520,Pave,2007,293077
RL,9492,Pave,1941,105000
RM,1680,Pave,1972,118000
RH,7082,Pave,1916,160000
RL,15863,Pave,1920,197000
RL,14541,Pave,1993,310000
RL,8125,Pave,2002,230000
RL,6305,Pave,1938,119750
RL,11500,Pave,1957,84000
RL,12898,Pave,2007,315500
RL,9240,Pave,2001,287000
RM,1533,Pave,1970,97000
RM,1477,Pave,1970,80000
RL,13125,Pave,1957,155000
RL,9130,Pave,1966,173000
RL,5381,Pave,2005,196000
RL,11839,Pave,1990,262280
RL,9600,Pave,1981,278000
RL,13680,Pave,1955,139600
RL,16056,Pave,2005,556581
RL,9245,Pave,1994,145000
RL,21750,Pave,1960,115000
RL,11100,Pave,1946,84900
RL,8993,Pave,2007,176485
RL,11175,Pave,2007,200141
RL,9500,Pave,1964,165000
RL,8562,Pave,1957,144500
RL,11367,Pave,2002,255000
RL,11361,Pave,1976,180000
RL,7052,Pave,2005,185850
RL,29959,Pave,1994,248000
RL,11308,Pave,2008,335000
RL,11275,Pave,1932,220000
RL,4920,Pave,2001,213500
C (all),18000,Grvl,1935,81000
RM,13600,Pave,1900,90000
RM,6000,Pave,1925,110500
RL,11000,Pave,1966,154000
RL,14000,Pave,1996,328000
RL,7837,Pave,1993,178000
RL,9760,Pave,1964,167900
RM,3964,Pave,1973,151400
RL,9600,Pave,1949,135000
RL,10152,Pave,1956,135000
RL,11700,Pave,1968,154000
RL,7585,Pave,1948,91500
RL,7950,Pave,1977,159500
RL,8556,Pave,2006,194000
RL,13125,Pave,1940,219500
RL,10800,Pave,1936,170000
RL,15870,Pave,1969,138800
RM,4435,Pave,2004,155900
RL,8775,Pave,1994,126000
RL,11040,Pave,1971,145000
RL,7500,Pave,1963,133000
RL,8749,Pave,2002,192000
RL,8800,Pave,1964,160000
RL,13031,Pave,1995,187500
RL,9069,Pave,1992,147000
RM,1974,Pave,1973,83500
FV,10574,Pave,2005,252000
RM,2522,Pave,2004,137500
FV,3316,Pave,2005,197000
RL,8544,Pave,1950,92900
FV,2160,Pave,1999,160000
RL,8400,Pave,1925,136500
RL,9230,Pave,1965,146000
RL,5868,Pave,1956,129000
RL,9317,Pave,2006,176432
RM,6882,Pave,1914,127000
RL,3696,Pave,1986,170000
RM,6000,Pave,1936,128000
RL,11880,Pave,1978,157000
RL,8400,Pave,1920,60000
RL,9758,Pave,1971,119500
RL,7000,Pave,1960,135000
RL,8910,Pave,1959,159500
RM,2016,Pave,1970,106000
RL,12256,Pave,1994,325000
RL,10357,Pave,1990,179900
RL,23257,Pave,2006,274725
RL,8063,Pave,2000,181000
RL,11362,Pave,2004,280000
RL,8000,Pave,1995,188000
RL,10480,Pave,1976,205000
RL,7100,Pave,1957,129900
RL,8923,Pave,1953,134500
RL,5400,Pave,1954,117000
RL,12085,Pave,2007,318000
RL,7750,Pave,2002,184100
RL,9764,Pave,1967,130000
RL,13825,Pave,1958,140000
RL,7560,Pave,1959,133700
RM,8263,Pave,1920,118400
RL,10084,Pave,2005,212900
RL,8926,Pave,1956,112000
RL,9405,Pave,1947,118000
RL,9125,Pave,1992,163900
RL,10434,Pave,1955,115000
RL,3684,Pave,2007,174000
RL,14572,Pave,2004,259000
RL,11796,Pave,2004,215000
RM,7200,Pave,1980,140000
RL,7804,Pave,1928,135000
RL,10712,Pave,1991,93500
RM,9900,Pave,1880,117500
RL,9828,Pave,1995,239500
RL,8773,Pave,1997,169000
RM,6180,Pave,1926,102000
RL,9600,Pave,1950,119000
RL,6342,Pave,1875,94000
RL,9819,Pave,1977,196000
RL,8731,Pave,1920,144000
RL,7350,Pave,1951,139000
RL,10304,Pave,1976,197500
RL,9965,Pave,2006,424870
RL,9000,Pave,1959,80000
RL,12180,Pave,1941,80000
RM,6240,Pave,1928,149000
RL,11200,Pave,1985,180000
RL,12000,Pave,1941,174500
RM,5700,Pave,1926,116900
RM,9000,Pave,1920,143000
RL,8280,Pave,1950,124000
RL,17755,Pave,1959,149900
RL,14115,Pave,1956,230000
RM,5890,Pave,1930,120500
RL,13700,Pave,1965,201800
RL,10768,Pave,1976,218000
RL,9350,Pave,1965,179900
RL,5001,Pave,2007,230000
RL,11932,Pave,2007,235128
RL,9120,Pave,1974,185000
RL,2280,Pave,1978,146000
RL,14778,Pave,1954,224000
RL,8724,Pave,1968,129000
RL,12900,Pave,1969,108959
RL,16157,Pave,1978,194000
RL,9541,Pave,2009,233170
RL,10475,Pave,2008,245350
RL,10852,Pave,2000,173000
RL,13728,Pave,1935,235000
RL,35760,Pave,1995,625000
RL,9880,Pave,1977,171000
RL,9120,Pave,1958,163000
FV,4017,Pave,2006,171900
RL,18030,Pave,1946,200500
RL,16560,Pave,1932,239000
RL,10678,Pave,1992,285000
RL,6951,Pave,1984,119500
RM,3950,Pave,1926,115000
RL,7681,Pave,1921,154900
RL,8335,Pave,1954,93000
RL,11170,Pave,1990,250000
RM,5587,Pave,2008,392500
RL,15623,Pave,1996,745000
RL,10800,Pave,1920,120000
RL,35133,Grvl,1963,186700
RL,9738,Pave,1924,104900
RL,10615,Pave,1900,95000
RL,12461,Pave,1994,262000
RL,8935,Pave,2002,195000
RL,7500,Pave,1999,189000
RL,32463,Pave,1961,168000
FV,2645,Pave,1999,174000
RM,9600,Pave,1925,125000
RM,4500,Pave,1999,165000
RL,9364,Pave,1969,158000
RL,8029,Pave,2005,176000
RL,14054,Pave,2006,219210
RM,8850,Pave,1916,144000
RL,9100,Pave,2001,178000
RL,11235,Pave,1963,148000
RL,9353,Pave,1970,116050
RL,10400,Pave,1998,197900
RM,6000,Pave,1925,117000
RL,9750,Pave,2000,213000
RL,10140,Pave,1975,153500
RL,14684,Pave,1990,271900
RH,8900,Pave,1966,107000
RL,9135,Pave,2003,200000
RL,7763,Pave,1962,140000
RL,10182,Pave,2006,290000
RL,11218,Pave,1992,189000
RL,12134,Pave,1988,164000
RL,9340,Pave,1941,113000
RL,10246,Pave,1965,145000
RL,10205,Pave,1962,134500
RL,7094,Pave,1966,125000
RM,8930,Pave,1978,112000
FV,8640,Pave,2009,229456
RM,6240,Pave,1947,80500
RM,1680,Pave,1971,91500
RL,7800,Pave,1964,115000
RL,8250,Pave,1968,134000
RL,10496,Pave,1949,143000
RL,10680,Pave,1951,137900
RL,15384,Pave,2004,184000
RL,10482,Pave,1958,145000
RL,14598,Pave,2007,214000
RL,8872,Pave,1965,147000
RL,8769,Pave,2008,367294
RL,7910,Pave,1960,127000
RL,18890,Pave,1977,190000
RL,7728,Pave,1962,132500
RL,9842,Pave,1962,101800
RL,12160,Pave,1959,142000
RH,8525,Pave,1911,130000
RL,13132,Pave,1914,138887
RL,2628,Pave,2003,175500
RL,12393,Pave,2004,195000
RL,13072,Pave,2005,142500
RL,9037,Pave,2006,265900
RL,8158,Pave,2003,224900
RL,9849,Pave,2007,248328
RL,10625,Pave,1974,170000
RL,13891,Pave,2006,465000
RL,11435,Pave,1929,230000
RL,12090,Pave,1984,178000
FV,8125,Pave,2005,186500
RL,12328,Pave,1976,169900
RM,9600,Pave,1917,129500
RL,7200,Pave,1950,119000
RL,11160,Pave,1968,244000
RL,3136,Pave,2003,171750
RL,9858,Pave,1968,130000
RL,17542,Pave,1974,294000
RL,6931,Pave,2003,165400
RM,6240,Pave,1931,127500
RL,14303,Pave,1994,301500
RL,4060,Pave,1922,99900
RL,9587,Pave,2005,190000
RL,9750,Pave,1969,151000
RL,24682,Pave,1999,181000
RL,9600,Pave,1956,128900
RL,11250,Pave,1957,161500
RL,13515,Pave,1919,180500
RH,4060,Pave,1998,181000
FV,3735,Pave,1999,183900
RM,10120,Pave,1910,122000
RL,13214,Pave,2008,378500
RL,14100,Pave,1935,381000
RL,11344,Pave,1958,144000
RL,23595,Pave,1979,260000
RL,9156,Pave,1968,185750
RL,13526,Pave,1965,137000
RL,11512,Pave,1959,177000
RL,5362,Pave,1910,139000
RL,11345,Pave,1948,137000
RL,12936,Pave,1972,162000
RL,17871,Pave,1967,197900
RL,9473,Pave,2002,237000
C (all),7500,Pave,1920,68400
RL,9808,Pave,2002,227000
RL,8049,Pave,1990,180000
RL,8800,Pave,1977,150500
RL,9400,Pave,1971,139000
RL,9638,Pave,1919,169000
RM,6000,Pave,1939,132500
RL,9790,Pave,1963,143000
RL,36500,Pave,1964,190000
RL,5664,Pave,2000,278000
RL,11065,Pave,2006,281000
RL,14112,Pave,1964,180500
RM,1680,Pave,1972,119500
RM,6600,Pave,1892,107500
RL,10140,Pave,1976,162900
RL,8172,Pave,1955,115000
RL,8400,Pave,1968,138500
RL,8700,Pave,1963,155000
RM,3675,Pave,2005,140000
RL,63887,Pave,2008,160000
RL,7500,Pave,1959,154000
RL,10762,Pave,1999,225000
RL,7500,Pave,1942,177500
RL,10120,Pave,1994,290000
RL,8688,Pave,2005,232000
RM,3363,Pave,2004,130000
RL,13173,Pave,2006,325000
RL,6955,Pave,2005,202500
RL,8072,Pave,1994,138000
RM,12000,Pave,1948,147000
RL,7153,Pave,1991,179200
RL,17500,Pave,1959,335000
RL,8814,Pave,2005,203000
RL,9572,Pave,1990,302000
RL,14774,Pave,1999,333168
RL,8190,Pave,1954,119000
RL,11075,Pave,1969,206900
RL,10226,Pave,2008,295493
FV,4230,Pave,2006,208900
RL,14781,Pave,2001,275000
RL,10215,Pave,1954,111000
RL,8400,Pave,1957,156500
RL,6627,Pave,1949,72500
RL,10186,Pave,1992,190000
RL,5330,Pave,1940,82500
RL,9986,Pave,2006,147000
RM,3636,Pave,1922,55000
RH,4270,Pave,1931,79000
RL,6600,Pave,1982,130500
RM,10440,Pave,1920,256000
RL,9084,Pave,1998,176500
RL,10000,Pave,2006,227000
RL,10780,Pave,1976,132500
RL,8877,Pave,1938,100000
RM,7200,Pave,1938,125500
RM,2368,Pave,1970,125000
RL,9650,Pave,1977,167900
RL,9246,Pave,1973,135000
RM,4118,Pave,1941,52500
RL,13450,Pave,2002,200000
RL,9560,Pave,1972,128500
RL,8294,Pave,1971,123000
RL,13695,Pave,2003,155000
RL,9375,Pave,2002,228500
RL,7558,Pave,1928,177000
RL,11103,Pave,2006,155835
RM,6000,Pave,1920,108500
RL,20781,Pave,1968,262500
RL,15306,Pave,2006,283463
RL,16196,Pave,1998,215000
RM,5250,Pave,1872,122000
RL,11643,Pave,1969,200000
RL,9247,Pave,1962,171000
RM,6000,Pave,1937,134900
RL,14720,Pave,1995,410000
RL,10316,Pave,2000,235000
RL,10192,Pave,1968,170000
RL,9477,Pave,1966,110000
RL,12537,Pave,1971,149900
FV,2117,Pave,2000,177500
RL,16737,Pave,2004,315000
RL,9842,Pave,1921,189000
RL,16158,Pave,2005,260000
RL,12513,Pave,1920,104900
RL,8499,Pave,2006,156932
FV,3180,Pave,2005,144152
FV,7500,Pave,2000,216000
RL,9179,Pave,1999,193000
RM,2665,Pave,1977,127000
RM,4435,Pave,2003,144000
RL,10635,Pave,2003,232000
RL,5400,Pave,1920,105000
RL,9600,Pave,1955,165500
RL,9750,Pave,1998,274300
RL,11400,Pave,2001,466500
FV,10625,Pave,2005,250000
RL,10991,Pave,2007,239000
RL,6292,Pave,1930,91000
RL,10998,Pave,1941,117000
RM,1953,Pave,1973,83000
RL,9735,Pave,2006,167500
RL,8212,Pave,1914,58500
RL,12925,Pave,1970,237500
RM,7200,Pave,1920,157000
RL,25339,Pave,1918,112000
RL,9060,Pave,1939,105000
RM,5436,Pave,1922,125500
RL,16692,Pave,1978,250000
RM,8520,Pave,1916,136000
RL,14892,Pave,2006,377500
RM,6000,Pave,1941,131000
RL,9100,Pave,2000,235000
RL,8944,Pave,1967,124000
RL,7838,Pave,1967,123000
RM,10800,Pave,1905,163000
RL,4045,Pave,2006,246578
RL,12665,Pave,2005,281213
RL,57200,Pave,1948,160000
RM,6120,Pave,1920,137500
RL,7200,Pave,1950,138000
RL,6171,Pave,1925,137450
RM,6000,Pave,1929,120000
RL,7415,Pave,2004,193000
RL,6762,Pave,2006,193879
RL,15256,Pave,2007,282922
RL,10410,Pave,1915,105000
RM,3842,Pave,2004,275000
RL,8445,Pave,1972,133000
RL,8780,Pave,1985,112000
RM,7740,Pave,1910,125500
RL,20544,Pave,1986,215000
RL,12420,Pave,2001,230000
RL,9600,Pave,1950,140000
RL,7200,Pave,1949,90000
RL,10994,Pave,2005,257000
RL,13053,Pave,1923,207000
RL,3635,Pave,2007,175900
RM,11340,Pave,1885,122500
RL,16545,Pave,1998,340000
RL,9204,Pave,1963,124000
RL,16381,Pave,1969,223000
RL,11700,Pave,1968,179900
RL,4043,Pave,1977,127500
RM,4435,Pave,2003,136500
RL,19690,Pave,1966,274970
RL,9503,Pave,1958,144000
RL,10721,Pave,1959,142000
RL,10944,Pave,1994,271000
RL,10930,Pave,1945,140000
RM,7200,Pave,1940,119000
RL,12546,Pave,1981,182900
RL,21930,Pave,2005,192140
RL,4928,Pave,1976,143750
RL,10800,Pave,1927,64500
RL,10261,Pave,2000,186500
RL,17400,Pave,1977,160000
RL,8400,Pave,1962,174000
RL,9000,Pave,1971,120500
RL,12444,Pave,2008,394617
RM,7407,Pave,1957,149700
RL,11584,Pave,1979,197000
RL,11526,Pave,1922,191000
RM,4426,Pave,2004,149300
FV,11003,Pave,2008,310000
RL,8854,Pave,1916,121000
RL,8500,Pave,2004,179600
RL,8400,Pave,1966,129000
RL,26142,Pave,1962,157900
RL,10000,Pave,1995,240000
RL,11767,Pave,1910,112000
RM,1533,Pave,1970,92000
RL,9000,Pave,1974,136000
RL,9262,Pave,2008,287090
RM,3675,Pave,2005,145000
RL,17217,Pave,2006,84500
FV,7500,Pave,2004,185000
RL,7917,Pave,1999,175000
RL,13175,Pave,1978,210000
RL,9042,Pave,1941,266500
RL,9717,Pave,1950,142125
RL,9937,Pave,1965,147500
